District_name,Predicted_rice,Predicted_wheat,Predicted_jowarr,Predicted_bajra,Predicted_maize,Predicted_ragi,Predicted_gram,Predicted_tur,Predicted_udid,Predicted_mung
Ahemadnagar,13304,62226,97891,31057,70645,0,16488,52147,2703,2103
Akola,7443,43721,67035,33708,51309,0,17102,33028,2703,1366
Amravati,295,37586,56919,23364,39387,491,16487,23819,2702,1366
Aurangabad,3582,41754,72141,29572,27263,561,16487,32929,2752,2102
Beed,4139,28265,35624,10217,10316,0,16488,24836,2753,2102
Bhandara,971,32133,50010,32053,0,0,17102,28119,3000,2312
Buldhana,3989,42587,80444,35996,25834,1178,16487,34043,2752,2102
Chandrapur,67288,24505,24225,6317,6419,1944,17099,22911,2994,2306
Dhule,309,42967,85129,31988,22590,395,16488,35485,2753,2102
Gadchiroli,21336,16217,2587,0,0,2833,16483,14202,2993,2305
Gondia,37714,24098,21247,2539,8010,2810,17099,23280,2993,2305
Hingoli,10505,35650,55666,22104,20001,1437,17100,29498,2996,2100
Jalgaon,1501,32872,52810,26107,20619,471,17101,30777,2752,2102
Jalna,6375,80754,163193,71553,90888,2821,17101,56974,2752,2102
Kolhapur,131206,22624,24991,6426,5636,1629,17099,23061,2994,2306
Latur,1879,45630,80466,37465,33653,1082,16487,26359,2752,2102
Nagpur,1131,28895,50884,19599,18422,1602,16486,26668,2995,2308
Nanded,7950,31824,44658,18348,13903,1140,17100,26888,2996,2309
Nandurbar,2172,37854,61216,27588,19680,548,17101,30314,2998,2310
Nashik,24463,40194,66243,24857,28699,2259,17099,32607,2995,2307
Osmanabad,1216,51278,75271,52215,39552,2752,16487,32722,2999,2311
Parbhani,2568,41047,61944,34854,26276,2454,17100,31153,3133,2498
Pune,2839,50428,84527,49573,38291,2805,17101,36097,3134,2499
Raigad,253652,0,0,0,0,13761,17099,0,3131,2496
Ratnagiri,266639,0,0,0,0,9629,17099,0,3130,2495
Sangli,4775,52709,92265,54162,39186,1156,16488,40616,3134,2310
Satara,51792,45025,74468,49156,37682,5323,16486,35455,3132,2497
Sindhudurg,7573,30454,37619,19254,13646,3835,17099,25238,3131,2496
Solapur,491,42730,67245,33752,23268,273,17101,33460,3134,2499
Thane,161292,2149,0,0,0,17212,19515,7992,3130,2495
Wardha,55255,36942,57663,24952,21075,2446,19517,28571,3132,2498
Washim,1683,41692,71144,31350,26000,868,17101,30478,2999,2310
Yavatmal,114726,38677,57870,31683,27036,3709,17100,26399,2997,2308
